Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,483.000000,500.000000,480.000000,500.000000,488.807556,295400
2015-10-12,500.000000,500.000000,490.000000,492.000000,480.986633,176400
2015-10-13,491.000000,494.000000,490.000000,494.000000,482.941864,33600
2015-10-15,489.000000,493.000000,489.000000,493.000000,481.964264,38900
2015-10-16,489.000000,489.000000,481.000000,488.000000,477.076172,249100
2015-10-19,482.000000,486.000000,482.000000,486.000000,475.120972,7600
2015-10-20,484.000000,494.000000,483.000000,492.000000,480.986633,22700
2015-10-21,488.000000,494.000000,485.000000,490.000000,479.031403,101200
2015-10-22,485.000000,492.000000,485.000000,492.000000,480.986633,2200
2015-10-23,485.000000,498.000000,485.000000,498.000000,486.852356,72400
2015-10-26,497.000000,497.000000,494.000000,494.000000,482.941864,16400
2015-10-27,488.000000,500.000000,487.000000,495.000000,483.919495,81500
2015-10-28,495.000000,495.000000,494.000000,494.000000,482.941864,21000
2015-10-29,487.000000,492.000000,485.000000,492.000000,480.986633,111900
2015-10-30,485.000000,489.000000,483.000000,487.000000,476.098541,115800
2015-11-02,493.000000,605.000000,493.000000,600.000000,586.569031,3554100
2015-11-03,600.000000,605.000000,565.000000,570.000000,557.240601,361600
2015-11-04,570.000000,570.000000,545.000000,560.000000,547.464417,109300
2015-11-05,575.000000,600.000000,525.000000,550.000000,537.688354,239000
2015-11-06,560.000000,560.000000,530.000000,545.000000,532.800171,151100
2015-11-09,550.000000,550.000000,515.000000,520.000000,508.359863,133100
2015-11-10,535.000000,535.000000,515.000000,520.000000,508.359863,59200
2015-11-11,530.000000,530.000000,510.000000,510.000000,498.583710,35900
2015-11-12,530.000000,545.000000,505.000000,540.000000,527.912170,62700
2015-11-13,545.000000,545.000000,525.000000,530.000000,518.135986,10500
2015-11-16,515.000000,540.000000,515.000000,535.000000,523.024048,303100
2015-11-17,530.000000,535.000000,530.000000,535.000000,523.024048,58400
2015-11-18,525.000000,550.000000,525.000000,535.000000,523.024048,142600
2015-11-19,540.000000,540.000000,525.000000,535.000000,523.024048,39800
2015-11-20,550.000000,565.000000,535.000000,565.000000,552.352478,111600
2015-11-23,565.000000,565.000000,510.000000,510.000000,498.583710,202700
2015-11-24,520.000000,555.000000,515.000000,530.000000,518.135986,151100
2015-11-25,535.000000,550.000000,525.000000,530.000000,518.135986,116800
2015-11-26,530.000000,545.000000,530.000000,545.000000,532.800171,31200
2015-11-27,530.000000,540.000000,530.000000,535.000000,523.024048,6800
2015-11-30,530.000000,540.000000,530.000000,540.000000,527.912170,102700
2015-12-01,545.000000,545.000000,530.000000,535.000000,523.024048,49100
2015-12-02,540.000000,540.000000,535.000000,540.000000,527.912170,58800
2015-12-03,545.000000,545.000000,530.000000,540.000000,527.912170,1100
2015-12-04,530.000000,535.000000,525.000000,525.000000,513.247864,26900
2015-12-07,530.000000,535.000000,500.000000,530.000000,518.135986,86900
2015-12-08,520.000000,530.000000,520.000000,520.000000,508.359863,22100
2015-12-09,520.000000,520.000000,520.000000,520.000000,508.359863,0
2015-12-10,525.000000,525.000000,500.000000,505.000000,493.695648,62100
2015-12-11,500.000000,520.000000,500.000000,500.000000,488.807556,26600
2015-12-14,486.000000,515.000000,480.000000,515.000000,503.471802,5500
2015-12-15,495.000000,530.000000,495.000000,530.000000,518.135986,9300
2015-12-16,525.000000,530.000000,525.000000,530.000000,518.135986,32200
2015-12-17,510.000000,530.000000,505.000000,525.000000,513.247864,9400
2015-12-18,505.000000,520.000000,500.000000,500.000000,488.807556,56200
2015-12-21,520.000000,530.000000,500.000000,515.000000,503.471802,53600
2015-12-22,510.000000,520.000000,505.000000,505.000000,493.695648,118500
2015-12-23,505.000000,510.000000,500.000000,500.000000,488.807556,106400
2015-12-28,500.000000,500.000000,493.000000,500.000000,488.807556,58600
2015-12-29,500.000000,505.000000,495.000000,495.000000,483.919495,120600
2015-12-30,505.000000,505.000000,495.000000,495.000000,483.919495,131900
