Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,70500.000000,72000.000000,70500.000000,71550.000000,61997.957031,1354000
2016-04-29,70000.000000,72300.000000,69200.000000,69250.000000,60005.011719,1590000
2016-05-02,69300.000000,71600.000000,68275.000000,71600.000000,62041.285156,634800
2016-05-03,70400.000000,70700.000000,67650.000000,68100.000000,59008.539063,1380200
2016-05-04,68500.000000,68700.000000,67325.000000,67900.000000,58835.238281,1336400
2016-05-09,67500.000000,68425.000000,67300.000000,67775.000000,58726.925781,1375200
2016-05-10,68000.000000,71750.000000,67800.000000,71050.000000,61564.710938,1671400
2016-05-11,70900.000000,71750.000000,70725.000000,70900.000000,61434.730469,544600
2016-05-12,72000.000000,73800.000000,71875.000000,73800.000000,63947.582031,1410700
2016-05-13,74050.000000,74050.000000,70800.000000,71225.000000,61716.347656,664000
2016-05-16,70800.000000,71200.000000,70300.000000,71200.000000,61694.683594,566900
2016-05-17,72000.000000,73400.000000,71800.000000,73000.000000,63254.382813,496100
2016-05-18,73100.000000,73600.000000,71150.000000,72000.000000,62387.882813,1094400
2016-05-19,71750.000000,72000.000000,70425.000000,71000.000000,61521.382813,367100
2016-05-20,70300.000000,74100.000000,70000.000000,72525.000000,62842.789063,470700
2016-05-23,72050.000000,74400.000000,71950.000000,73925.000000,64055.894531,409600
2016-05-24,72300.000000,73900.000000,71150.000000,71150.000000,61651.359375,375400
2016-05-25,71500.000000,72200.000000,70100.000000,71000.000000,61521.382813,1199100
2016-05-26,71000.000000,71000.000000,69575.000000,70000.000000,60654.890625,834600
2016-05-27,70625.000000,71475.000000,70500.000000,71325.000000,61802.996094,848300
2016-05-30,71325.000000,71500.000000,69975.000000,70000.000000,60654.890625,689700
2016-05-31,70000.000000,70350.000000,68475.000000,69200.000000,59961.691406,2449800
2016-06-01,68300.000000,70450.000000,68300.000000,69000.000000,59788.386719,579200
2016-06-02,69975.000000,70300.000000,68900.000000,69025.000000,59810.046875,781400
2016-06-03,69200.000000,70150.000000,69200.000000,69575.000000,60286.625000,750500
2016-06-06,69825.000000,70400.000000,69625.000000,70000.000000,60654.890625,551800
2016-06-07,70400.000000,70400.000000,70000.000000,70350.000000,60958.160156,922500
2016-06-08,70500.000000,70600.000000,68800.000000,69550.000000,60264.964844,914100
2016-06-09,69000.000000,69300.000000,68075.000000,68125.000000,59030.199219,609300
2016-06-10,68125.000000,68575.000000,67375.000000,67575.000000,58553.628906,1439600
2016-06-13,67700.000000,68600.000000,67350.000000,67900.000000,58835.238281,686900
2016-06-14,68000.000000,69225.000000,68000.000000,68025.000000,58943.554688,1142300
2016-06-15,67800.000000,67800.000000,64025.000000,64350.000000,55759.167969,3524900
2016-06-16,64350.000000,64350.000000,63075.000000,63350.000000,54892.671875,1534700
2016-06-17,63500.000000,65225.000000,62150.000000,63350.000000,54892.671875,2605800
2016-06-20,63950.000000,64325.000000,63375.000000,63400.000000,54936.000000,859800
2016-06-21,63500.000000,67250.000000,63500.000000,66250.000000,57405.519531,2644500
2016-06-22,66500.000000,67500.000000,65850.000000,66375.000000,57513.828125,1220200
2016-06-23,66900.000000,66900.000000,64950.000000,65450.000000,56712.320313,1283400
2016-06-24,65950.000000,66025.000000,63550.000000,66000.000000,57188.890625,1076000
2016-06-27,66000.000000,66000.000000,65300.000000,65775.000000,56993.925781,792000
2016-06-28,66000.000000,68725.000000,66000.000000,68725.000000,59550.097656,4942400
2016-06-29,67000.000000,67925.000000,66650.000000,67925.000000,61171.121094,1937300
2016-06-30,68050.000000,69175.000000,67700.000000,69000.000000,62139.234375,1877100
2016-07-01,69400.000000,69400.000000,68175.000000,68250.000000,61463.808594,1276200
2016-07-11,69500.000000,73000.000000,69150.000000,72000.000000,64840.945313,3132100
2016-07-12,72250.000000,75000.000000,70100.000000,70225.000000,63242.433594,2955000
2016-07-13,72250.000000,72475.000000,70500.000000,72250.000000,65066.078125,2178700
2016-07-14,72500.000000,73500.000000,70450.000000,72125.000000,64953.511719,1096200
2016-07-15,72750.000000,73250.000000,69575.000000,70400.000000,63400.039063,1935900
2016-07-18,70400.000000,71225.000000,69600.000000,71225.000000,64143.003906,842400
2016-07-19,71500.000000,72000.000000,70050.000000,71900.000000,64750.886719,1663400
2016-07-20,72000.000000,75150.000000,71700.000000,75025.000000,67565.164063,2998100
2016-07-21,76300.000000,77950.000000,76300.000000,77100.000000,69433.835938,1222000
2016-07-22,77100.000000,77850.000000,75500.000000,77500.000000,69794.070313,662900
2016-07-25,77700.000000,77900.000000,75000.000000,75000.000000,67542.656250,914900
2016-07-26,74975.000000,75000.000000,71000.000000,71000.000000,63940.375000,3824900
2016-07-27,71000.000000,71750.000000,69200.000000,69200.000000,62319.347656,2918500
2016-07-28,69500.000000,70300.000000,67850.000000,68800.000000,61959.121094,3810600
2016-07-29,69000.000000,69800.000000,67525.000000,67525.000000,60810.898438,3635400
2016-08-01,68000.000000,68500.000000,67525.000000,68125.000000,61351.238281,3534400
2016-08-02,68125.000000,69650.000000,68125.000000,69275.000000,62386.898438,2050600
2016-08-03,69250.000000,69550.000000,68325.000000,68850.000000,62004.148438,2308200
2016-08-04,68850.000000,68900.000000,68325.000000,68850.000000,62004.148438,953400
2016-08-05,69000.000000,69600.000000,67500.000000,67800.000000,61058.554688,2326300
2016-08-08,68025.000000,68475.000000,66650.000000,66775.000000,60135.472656,2071700
2016-08-09,66825.000000,67000.000000,65100.000000,65500.000000,58987.242188,2604400
2016-08-10,65600.000000,66500.000000,65500.000000,66225.000000,59640.160156,1524600
2016-08-11,66475.000000,66925.000000,65800.000000,66000.000000,59437.527344,1149000
2016-08-12,66900.000000,66900.000000,65850.000000,65900.000000,59347.472656,1031100
2016-08-15,65950.000000,66125.000000,64400.000000,64925.000000,58469.417969,1075500
2016-08-16,65175.000000,65750.000000,64650.000000,64800.000000,58356.847656,1090800
2016-08-18,65500.000000,68675.000000,65350.000000,67500.000000,60788.386719,4505000
2016-08-19,67800.000000,68775.000000,67300.000000,68025.000000,61261.183594,2138900
2016-08-22,68000.000000,68100.000000,66600.000000,67150.000000,60473.183594,1474300
2016-08-23,66750.000000,67000.000000,65700.000000,67000.000000,60338.101563,1674200
2016-08-24,66500.000000,67400.000000,66100.000000,66300.000000,59707.699219,892300
2016-08-25,66300.000000,66850.000000,65100.000000,66825.000000,60180.500000,1754500
2016-08-26,66500.000000,66625.000000,65500.000000,65800.000000,59257.414063,951600
2016-08-29,65800.000000,66000.000000,64850.000000,64900.000000,58446.902344,861100
2016-08-30,65600.000000,65600.000000,63500.000000,63875.000000,57523.820313,1323100
2016-08-31,64500.000000,64650.000000,64025.000000,64400.000000,57996.621094,1252600
2016-09-01,64025.000000,64025.000000,62275.000000,62500.000000,56285.542969,1547300
2016-09-02,62575.000000,63375.000000,62500.000000,63300.000000,57005.996094,752500
2016-09-05,63550.000000,64475.000000,63550.000000,64000.000000,57636.394531,599500
2016-09-06,64225.000000,64650.000000,64025.000000,64450.000000,58041.652344,778300
